1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
1	3
2	3
3	3
4	3
5	3
6	3
7	3
8	3
9	3
10	3
11	3
12	3
13	3
14	3
15	3
16	3
17	3
18	3
1	4
2	4
3	4
4	4
5	4
6	4
7	4
8	4
9	4
10	4
11	4
12	4
13	4
14	4
15	4
16	4
17	4
18	4
1	5
2	5
3	5
4	5
5	5
6	5
7	5
8	5
9	5
10	5
11	5
12	5
13	5
14	5
15	5
16	5
17	5
18	5
1	6
2	6
3	6
4	6
5	6
6	6
7	6
8	6
9	6
10	6
11	6
12	6
13	6
14	6
15	6
16	6
17	6
18	6
20	7
19	8
19	9
1	10
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
20	11
21	12
22	12
23	12
24	12
25	12
26	12
27	12
28	12
82	13
83	13
84	13
85	13
86	13
87	13
88	13
89	13
90	13
91	13
92	13
93	13
31	14
32	14
33	14
34	14
35	14
36	14
37	14
38	14
39	14
40	14
41	14
42	14
43	14
44	14
45	14
46	14
47	14
48	14
49	14
50	14
51	14
52	14
53	14
54	14
55	14
56	14
57	14
58	14
59	14
60	14
61	14
62	14
63	14
64	14
65	14
31	15
32	15
33	15
34	15
35	15
36	15
37	15
38	15
39	15
40	15
41	15
42	15
43	15
44	15
45	15
46	15
47	15
48	15
49	15
50	15
51	15
52	15
53	15
54	15
55	15
56	15
57	15
58	15
59	15
60	15
61	15
62	15
63	15
64	15
65	15
70	16
71	16
72	16
73	16
74	16
75	16
76	16
77	16
78	16
79	16
80	16
81	16
127	17
107	18
108	18
109	18
110	18
111	18
112	18
113	18
114	18
115	18
116	18
117	18
118	18
119	19
120	19
121	19
122	19
123	19
124	19
125	19
126	19
94	20
95	20
96	20
97	20
98	20
99	20
100	20
101	20
102	21
103	21
104	21
105	21
106	21
66	22
67	22
68	22
69	22
128	23
129	23
130	23
131	23
132	23
133	23
134	23
135	23
136	23
21	24
22	24
23	24
24	24
25	24
26	24
27	24
28	24
21	25
22	25
23	25
24	25
25	25
26	25
27	25
28	25
21	26
22	26
23	26
24	26
25	26
26	26
27	26
28	26
29	26
30	26
21	27
22	27
23	27
24	27
25	27
26	27
27	27
28	27
29	27
30	27
137	28
138	29
139	30
140	31
141	32
142	33
142	34
142	35
142	36
143	37
144	38
145	39
139	40
146	41
147	42
148	43
149	44
150	45
151	46
150	47
152	47
152	48
147	49
153	50
153	51
153	52
154	53
155	54
156	55
157	56
158	57
153	58
159	59
160	60
161	61
162	62
153	63
163	64
163	65
164	66
164	67
165	68
166	69
164	70
164	71
164	72
167	73
164	74
164	75
164	76
168	77
169	78
170	79
171	80
172	81
21	82
22	82
23	82
24	82
25	82
26	82
27	82
28	82
29	82
30	82
